bview.20170606.0000.gz,ris,ribs,rrc00,1496707200,8,1496707208
updates.20170606.0000.gz,ris,updates,rrc00,1496707200,300,1496707500
updates.20170606.0005.gz,ris,updates,rrc00,1496707500,300,1496707800
updates.20170606.0010.gz,ris,updates,rrc00,1496707800,300,1496708100
updates.20170606.0015.gz,ris,updates,rrc00,1496708100,300,1496708400
updates.20170606.0020.gz,ris,updates,rrc00,1496708400,300,1496708700
updates.20170606.0025.gz,ris,updates,rrc00,1496708700,300,1496709000
updates.20170606.0030.gz,ris,updates,rrc00,1496709000,300,1496709300
updates.20170606.0035.gz,ris,updates,rrc00,1496709300,300,1496709600
updates.20170606.0040.gz,ris,updates,rrc00,1496709600,300,1496709900
updates.20170606.0045.gz,ris,updates,rrc00,1496709900,300,1496710200
updates.20170606.0050.gz,ris,updates,rrc00,1496710200,300,1496710500
updates.20170606.0055.gz,ris,updates,rrc00,1496710500,300,1496710800
updates.20170606.0100.gz,ris,updates,rrc00,1496710800,300,1496711100
updates.20170606.0105.gz,ris,updates,rrc00,1496711100,300,1496711400
updates.20170606.0110.gz,ris,updates,rrc00,1496711400,300,1496711700
updates.20170606.0115.gz,ris,updates,rrc00,1496711700,300,1496712000
updates.20170606.0120.gz,ris,updates,rrc00,1496712000,300,1496712300
updates.20170606.0125.gz,ris,updates,rrc00,1496712300,300,1496712600
updates.20170606.0130.gz,ris,updates,rrc00,1496712600,300,1496712900
updates.20170606.0135.gz,ris,updates,rrc00,1496712900,300,1496713200
updates.20170606.0140.gz,ris,updates,rrc00,1496713200,300,1496713500
updates.20170606.0145.gz,ris,updates,rrc00,1496713500,300,1496713800
updates.20170606.0150.gz,ris,updates,rrc00,1496713800,300,1496714100
updates.20170606.0155.gz,ris,updates,rrc00,1496714100,300,1496714400
updates.20170606.0200.gz,ris,updates,rrc00,1496714400,300,1496714700
updates.20170606.0205.gz,ris,updates,rrc00,1496714700,300,1496715000


